This is the collection of Ford vehicles on mercadolibre website
Vehicle	Year	Type	Engine	Transmission	Fuel Type	Door	Link
Ford Figo 2017 Impulse A/a Bolsas A - $ 148,000.00	2017	Sedán	1.5	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-632958174-ford-figo-2017-impulse-aa-bolsas-a-_JM
Ford Figo 1.5 Impulse Aa Sedan Mt 2017 - $ 145,000.00	2017	Sedán	1.5	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-631373028-ford-figo-15-impulse-aa-sedan-mt-2017-_JM
Ford Fiesta 2017 - $ 224,500.00	2017	Sedán	1.6	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-629579174-ford-fiesta-2017-_JM
Fusion 2.0 Se Luxury Plus Aut Arena 2017 - $ 350,000.00	2017	Sedán	2.0	Automática	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-632781753-fusion-20-se-luxury-plus-aut-arena-2017-_JM
Camioneta Pick Up Ford Ranger Xlt Linea Nueva, Mod. 2017 - $ 327,000.00	2017	Pick-Up	2.3	Manual	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-632580753-camioneta-pick-up-ford-ranger-xlt-linea-nueva-mod-2017-_JM
Ford Figo 1.5 Energy Sedan 2017 - $ 160,000.00	2017	Sedán	1.5	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-637033298-ford-figo-15-energy-sedan-2017-_JM
Ford Ranger 3.2 Xlt Diésel Cabina Doble 4x4 At 2017 - $ 449,000.00	2017	Pick-Up	3.2	Automática	Diesel	4	https://auto.mercadolibre.com.mx/MLM-633304276-ford-ranger-32-xlt-diesel-cabina-doble-4x4-at-2017-_JM
Ford Fusion 2.0 Titanium At 2017 - $ 468,000.00	2017	Sedán	2.0	Automática	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-627257706-ford-fusion-20-titanium-at-2017-_JM
Ford Focus 2.0 Se Mt - $ 310,000.00	2017	Sedán	2.0	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-608730271-ford-focus-20-se-mt-_JM
Ford Focus  3 Pts. Hb Rs, 2.5t, Tm6, Astos. Recaro, Ve, Ba, - $ 716,000.00	2017	Focus ST&#160;		Estándar	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-632760789-ford-focus-3-pts-hb-rs-25t-tm6-astos-recaro-ve-ba-_JM
Ford Figo Titanium 2017 Seminuevos - $ 210,000.00	2017	Sedán	1.5	Automática	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-632491672-ford-figo-titanium-2017-seminuevos-_JM
Ford Ranger 2.3 Xl Gasolina Mt 2017 - $ 353,300.00	2017	Pick-Up	2.3	Manual	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-627258012-ford-ranger-23-xl-gasolina-mt-2017-_JM
Ford Fusion 2.5 Se Advance At - $ 339,000.00	2017	Sedán	2.5	Automática	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-633122853-ford-fusion-25-se-advance-at-_JM
Ford Ecosport Trend At 2017 Seminuevos - $ 260,000.00	2017	SUV	2.0	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-633666281-ford-ecosport-trend-at-2017-seminuevos-_JM
Ford F-150 Xl Doble Cabina 4x2 V6 2017 Seminuevos - $ 475,000.00	2017	Pickup	5.0	Automática	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-632797596-ford-f-150-xl-doble-cabina-4x2-v6-2017-seminuevos-_JM
Ford Fusion 2.5 Se Advance At Carflex Mid - $ 339,000.00	2017	Sedán	2.5	Automática	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-621466387-ford-fusion-25-se-advance-at-carflex-mid-_JM
Ford Escape Titanium Ecoboost 2.0l 2017 Seminuevos - $ 415,000.00	2017	SUV	2.0	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-632797605-ford-escape-titanium-ecoboost-20l-2017-seminuevos-_JM
Ford Mustang 5.0l Gt V8 At 2017 - $ 495,000.00	2017	Coupé	5.0	Automática	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-635766122-ford-mustang-50l-gt-v8-at-2017-_JM
Ford Focus - $ 380,000.00	2017	Sedán	4 CILINDROS	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-632176795-ford-focus-_JM
Ford Focus 2.0 Se Mt - $ 315,000.00	2017	Sedán	2.0	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-632101297-ford-focus-20-se-mt-_JM
Ford Lobo Lobo Platinum 4x4 Doble Cabina 2017 Seminuevos - $ 715,000.00	2017	Pickup	3.5	Automática	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-632780800-ford-lobo-lobo-platinum-4x4-doble-cabina-2017-seminuevos-_JM
Ford Mustang 3.8 Coupe 3.7 V6 At 2017 - $ 400,000.00	2017	Coupé	3.8	Automática	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-634779063-ford-mustang-38-coupe-37-v6-at-2017-_JM
Ford Figo Impulse 2017 - $ 168,000.00	2017				Gasolina	4	https://auto.mercadolibre.com.mx/MLM-637491002-ford-figo-impulse-2017-_JM
Ford Figo Impulse  4pts Mt 2017 Seminuevos - $ 160,000.00	2017	Sedán	1.5	Estándar	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-632782098-ford-figo-impulse-4pts-mt-2017-seminuevos-_JM
Ford Fiesta 1.6 S Mt 2017 Seminuevos - $ 185,000.00	2017	Sedán	1.6	Estándar	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-632782128-ford-fiesta-16-s-mt-2017-seminuevos-_JM
Ford Fiesta 1.6 Se Mt 2017 Seminuevos - $ 205,000.00	2017	Sedán	1.6	Estándar	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-632782116-ford-fiesta-16-se-mt-2017-seminuevos-_JM
Ford Ranger 4 Pts. Xlt Crew Cab, L4, Tm5, A/ac., Ve, Ra 201 - $ 355,000.00	2017	Pickup	2.5	Estándar	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-632801847-ford-ranger-4-pts-xlt-crew-cab-l4-tm5-aac-ve-ra-201-_JM
Ford Mustang Shelby Gt500 Coupé 2017 Seminuevos - $ 898,000.00	2017	Coupé	3.8	Estándar	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-632494701-ford-mustang-shelby-gt500-coupe-2017-seminuevos-_JM
Ford Escape Titanium Ecoboost 2.0l 2017 Seminuevos - $ 385,000.00	2017	SUV	2.0	Automática	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-632780362-ford-escape-titanium-ecoboost-20l-2017-seminuevos-_JM
Ford Figo Sedán Energy  - 142929 - $ 168,500.00	2017	Hatchback	1.5	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-632788733-ford-figo-sedan-energy-142929-_JM
Ford Fiesta Se Tm 4 Ptas 2017 Seminuevos - $ 189,000.00	2017	Sedán	1.6	Estándar	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-632491746-ford-fiesta-se-tm-4-ptas-2017-seminuevos-_JM
Ford F-350 3 Y Media Toneladas - $ 550,000.00	2017	Furgoneta	6.3	Manual	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-634031759-ford-f-350-3-y-media-toneladas-_JM
Ford Figo - $ 135,000.00	2017	Sedán	4 cilindros	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-629216776-ford-figo-_JM
Ford Figo Impulse  4pts At 2017 Seminuevos - $ 185,000.00	2017	Sedán	1.5	Automática	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-632743089-ford-figo-impulse-4pts-at-2017-seminuevos-_JM
Ford Escape Titanium Ecoboost 2.0l 2017 Seminuevos - $ 429,000.00	2017	SUV	2.0	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-632491665-ford-escape-titanium-ecoboost-20l-2017-seminuevos-_JM
Ranger Sa Crew Cab Xlt - $ 359,000.00	2017	Pick-Up	2.5	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-629457656-ranger-sa-crew-cab-xlt-_JM
Ford Figo Titanium 4 Puertas 2017 Seminuevos - $ 200,000.00	2017	Sedán	1.5	Automática	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-632799001-ford-figo-titanium-4-puertas-2017-seminuevos-_JM
Ford Ranger Xlt Gas Crew Cab 2017 Seminuevos - $ 345,000.00	2017	Pick-Up	2.5	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-632491737-ford-ranger-xlt-gas-crew-cab-2017-seminuevos-_JM
Ford Fiesta 1.6 S At 2017 Seminuevos - $ 200,000.00	2017	Sedán	1.6	Automática	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-632782090-ford-fiesta-16-s-at-2017-seminuevos-_JM
Ford Ranger 3.2 Xlt Diésel Cabina Doble 4x4 At 2017 - $ 510,900.00	2017	Pick-Up	3.2	Automática	Diesel	4	https://auto.mercadolibre.com.mx/MLM-627405971-ford-ranger-32-xlt-diesel-cabina-doble-4x4-at-2017-_JM
Ford Ecosport Trend At 2017 Seminuevos - $ 260,000.00	2017	SUV	2.0	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-633666280-ford-ecosport-trend-at-2017-seminuevos-_JM
Ford Ecosport Trend Mt 2017 Seminuevos - $ 250,000.00	2017	SUV	2.0	Estándar	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-632798922-ford-ecosport-trend-mt-2017-seminuevos-_JM
F-350 Super Duty - $ 499,000.00	2017				Gasolina	4	https://auto.mercadolibre.com.mx/MLM-623778705-f-350-super-duty-_JM
Ford Ranger 2.5 Xl Cabina Doble Mt - $ 290,000.00	2017	Pick-Up	2.5	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-632208145-ford-ranger-25-xl-cabina-doble-mt-_JM
Ford Ranger 2.5 Xlt Cabina Doble 4x2 Mt - $ 338,000.00	2017	Pick-Up	2.5	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-628493205-ford-ranger-25-xlt-cabina-doble-4x2-mt-_JM
Ford Figo 2017 5p Impulse L4/1.5 Man A/a - $ 167,000.00	2017	Hatchback		Manual	Gasolina	3	https://auto.mercadolibre.com.mx/MLM-632350083-ford-figo-2017-5p-impulse-l415-man-aa-_JM
Ford Escape 2.0 Trend Advance Ecoboost At 2017 - $ 365,000.00	2017	SUV	2.0	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-631820992-ford-escape-20-trend-advance-ecoboost-at-2017-_JM
Ford Fusion 2017 4p Titanium Plus L4/2.0/t Aut - $ 364,000.00	2017	Sedán		Automática	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-628156354-ford-fusion-2017-4p-titanium-plus-l420t-aut-_JM
Ford Figo 1.5 Impulse Aa Hchback At - $ 205,900.00	2017	Hatchback	1.5	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-621044594-ford-figo-15-impulse-aa-hchback-at-_JM
Ford Fiesta - $ 326,500.00	2017	Hatchback	1.6	Manual	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-616964878-ford-fiesta-_JM
Ford Ranger 2017 - $ 355,000.00	2017	Pick-Up	2.5	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-632350039-ford-ranger-2017-_JM
Ford Figo 1.5 Energy Sedan Mt - $ 129,000.00	2017	Sedán	1.5	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-636348826-ford-figo-15-energy-sedan-mt-_JM
Ford Eco Sport 2017 - $ 245,000.00	2017	SUV	2.0	Manual	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-637028159-ford-eco-sport-2017-_JM
Ford Figo 2017 4p Impulse L4/1.5 Aut A/a - $ 170,000.00	2017	Sedán		Automática	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-632350136-ford-figo-2017-4p-impulse-l415-aut-aa-_JM
Ford Edge 2017 - $ 485,000.00	2017	SUV	3.5	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-634012527-ford-edge-2017-_JM
Cabina De Ford 350 2017 - $ 43,000.00	2017					2	https://auto.mercadolibre.com.mx/MLM-629726731-cabina-de-ford-350-2017-_JM
Ford Eco Sport 2017 5p Trend L4/2.0 Aut - $ 279,500.00	2017	SUV	2.0	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-633120563-ford-eco-sport-2017-5p-trend-l420-aut-_JM
Ford Ranger 2.5 Xlt Cabina Doble 4x2 Mt - $ 348,500.00	2017	Pick-Up	2.5	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-631989376-ford-ranger-25-xlt-cabina-doble-4x2-mt-_JM
Ford Ranger 3.2 Xlt Diésel Cabina Doble 4x4 At - $ 478,500.00	2017	Pick-Up	3.2	Automática	Diesel	4	https://auto.mercadolibre.com.mx/MLM-632638153-ford-ranger-32-xlt-diesel-cabina-doble-4x4-at-_JM
Ford Mustang 5.0l Gt V8 Convertible At 2017 - $ 695,000.00	2017	Convertible	5.0	Automática	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-628682151-ford-mustang-50l-gt-v8-convertible-at-2017-_JM
Ford Edge 2.7 Sport At - $ 515,000.00	2017	SUV	2.7	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-635172672-ford-edge-27-sport-at-_JM
Ford Mustang 5.2l Shelby Gt350 Mt Unicamente Partes - $ 300,000.00	2017	Coupé	5.2	Manual	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-636916936-ford-mustang-52l-shelby-gt350-mt-unicamente-partes-_JM
Ford Figo 2017 - $ 189,000.00	2017	Sedán		Automática	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-637589355-ford-figo-2017-_JM
Ford Lobo Platinum Crew Cab Ecoboost 3.5l Piel4x4 Plata 2017 - $ 775,100.00	2017	Pick-Up	3.5	Automática	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-635282570-ford-lobo-platinum-crew-cab-ecoboost-35l-piel4x4-plata-2017-_JM
Ford Ecosport 2.0 Trend Mt 2017 - $ 229,000.00	2017	SUV	2.0	Manual	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-632012535-ford-ecosport-20-trend-mt-2017-_JM
Ford Figo 1.5 Impulse Aa Sedan Mt 2017 - $ 139,000.00	2017	Sedán	1.5	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-631415062-ford-figo-15-impulse-aa-sedan-mt-2017-_JM
Ford Ranger 2.5 Xlt Cabina Doble 4x2 Mt - $ 348,500.00	2017	Pick-Up	2.5	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-615758256-ford-ranger-25-xlt-cabina-doble-4x2-mt-_JM
Ford Fiesta Sedan Se Std 5 Vel Ac 2017 - $ 198,000.00	2017	Sedán	1.7	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-636976705-ford-fiesta-sedan-se-std-5-vel-ac-2017-_JM
Ford Fiesta 1.6 S Sedan At - $ 183,000.00	2017	Sedán	1.6	Automática	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-636894299-ford-fiesta-16-s-sedan-at-_JM
Ford F-350 6.3l Xl 6.2 Plus Mt 2017 - $ 515,000.00	2017	Furgoneta	6.3	Manual	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-635979972-ford-f-350-63l-xl-62-plus-mt-2017-_JM
Ford Mustang 5.2l Shelby Gt350 Mt Unico Estandar Impecanle - $ 895,000.00	2017	Coupé	5.2	Manual	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-627366827-ford-mustang-52l-shelby-gt350-mt-unico-estandar-impecanle-_JM
Ford Figo 1.5 Energy Sedan Mt Aa Ba Abs Opción A Crédito - $ 175,000.00	2017	Sedán	1.5	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-635266193-ford-figo-15-energy-sedan-mt-aa-ba-abs-opcion-a-credito-_JM
Ford Expedition 3.5 Limited 4x2 At 2017 Blanco - $ 639,000.00	2017	SUV	3.5	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-634472521-ford-expedition-35-limited-4x2-at-2017-blanco-_JM
Ford Focus 2.0 L St Mt 36 Meses Sin Intereses Mas Gran Bono - $ 582,700.00	2017	Hatchback	2.0	Manual	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-635279102-ford-focus-20-l-st-mt-36-meses-sin-intereses-mas-gran-bono-_JM
Ford Figo 1.5 Impulse Aa Sedan Mt 2017 - $ 149,000.00	2017	Sedán	1.5	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-625213516-ford-figo-15-impulse-aa-sedan-mt-2017-_JM
Ford Figo 1.5 Impulse Aa Sedan Mt - $ 149,000.00	2017	Sedán	1.5	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-624909471-ford-figo-15-impulse-aa-sedan-mt-_JM
Ford Explorer 3.5 Xlt Piel At - $ 539,000.00	2017	SUV	3.5	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-637502350-ford-explorer-35-xlt-piel-at-_JM
Ford Ranger 2.5 Xlt Cabina Doble 4x2 Mt 2017 - $ 338,000.00	2017	Pick-Up	2.5	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-627997778-ford-ranger-25-xlt-cabina-doble-4x2-mt-2017-_JM
Ford Lobo Platinum Crew Cab Ecoboost 3.5l Cd 4x4 Negro 2017 - $ 775,100.00	2017	Pick-Up	3.5	Automática	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-636333892-ford-lobo-platinum-crew-cab-ecoboost-35l-cd-4x4-negro-2017-_JM
Ford Lobo Platinum Crew Cab Ecoboost 3.5l At 4x4 Negro 2017 - $ 775,050.00	2017	Pick-Up	3.5	Automática	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-636333762-ford-lobo-platinum-crew-cab-ecoboost-35l-at-4x4-negro-2017-_JM
Ford Edge 2017 Sport Unico Dueño - $ 515,000.00	2017	SUV	2.7	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-632278325-ford-edge-2017-sport-unico-dueno-_JM
Ford Fusion 2.0 Se Luxury Plus At - $ 435,000.00	2017	Sedán	2.0	Automática	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-637312154-ford-fusion-20-se-luxury-plus-at-_JM
Ford Figo 1.5 Titanium Sedan Aut 2017 - $ 187,000.00	2017	Sedán	1.5	Automática	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-630957776-ford-figo-15-titanium-sedan-aut-2017-_JM
Mustang  Premium   Aut (1446) 2017 - $ 475,000.00	2017	Coupé	2.3	Manual	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-630952521-mustang-premium-aut-1446-2017-_JM
Ford Ranger 2.5 Xl Cabina Doble Mt Blanca 2017 - $ 335,000.00	2017	Pick-Up	2.5	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-633582504-ford-ranger-25-xl-cabina-doble-mt-blanca-2017-_JM
Ford Focus 2.0 L St Mt 2017 - $ 449,000.00	2017	Hatchback	2.0	Manual	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-637507871-ford-focus-20-l-st-mt-2017-_JM
Fusion Titanium Blanco 2017 - $ 410,000.00	2017	Sedán	2.0	Automática	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-633406598-fusion-titanium-blanco-2017-_JM
Ford Ecosport 2.0 Trend Mt - $ 260,000.00	2017	SUV	2.0	Manual	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-634493112-ford-ecosport-20-trend-mt-_JM
Ford Figo 1.5 Energy Hatchback Mt - $ 159,000.00	2017	Hatchback	1.5	Manual	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-637515633-ford-figo-15-energy-hatchback-mt-_JM
Ford Escape 2.0 Titanium Ecoboost Somos Agencia - $ 395,000.00	2017	SUV	2.0	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-635784368-ford-escape-20-titanium-ecoboost-somos-agencia-_JM
Ford Escape 2.0 Titanium Ecoboost At 2017 - $ 399,900.00	2017	SUV	2.0	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-635784398-ford-escape-20-titanium-ecoboost-at-2017-_JM
Ford Focus 2017 - $ 716,000.00	2017	Hatchback	2.3	Manual	Gasolina	3	https://auto.mercadolibre.com.mx/MLM-635952055-ford-focus-2017-_JM
Ford Figo 2017 - $ 190,000.00	2017	Sedán	1.5	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-635151541-ford-figo-2017-_JM
Ford Figo 2017 Titanium  - $ 185,000.00	2017	Sedán		Automática	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-637264922-ford-figo-2017-titanium-_JM
Ford Figo 1.5 Impulse Aa Sedan Mt - $ 159,000.00	2017	Sedán	1.5	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-637026625-ford-figo-15-impulse-aa-sedan-mt-_JM
Ford Escape 2.5 Titanium At 2017 Blanco - $ 369,000.00	2017	SUV	2.5	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-637236836-ford-escape-25-titanium-at-2017-blanco-_JM
Ford Fiesta 4p Se,ta,a/ac.,r15  - $ 169,750.00	2017	Sedán	1.6	Automática	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-637230886-ford-fiesta-4p-setaaacr15-_JM
Ford Lobo 3.5 Doble Cabina Platinum Limited 4x4 2017 - $ 848,000.00	2017	Pick-Up	3.5	Automática	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-636485169-ford-lobo-35-doble-cabina-platinum-limited-4x4-2017-_JM
Figo Energy Impecable 2017 - $ 174,000.00	2017	Sedán	1.5	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-628577511-figo-energy-impecable-2017-_JM
Ford Mustang 5.0l Gt V8 At A/a E/e Rin 19 Factura Original - $ 599,000.00	2017	Coupé	5.0	Automática	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-636192419-ford-mustang-50l-gt-v8-at-aa-ee-rin-19-factura-original-_JM
Ford Escape 2.5 Titanium At 2017 Blanco - $ 369,000.00	2017	SUV	2.5	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-637425583-ford-escape-25-titanium-at-2017-blanco-_JM
Fusion Sport 2017 - $ 599,000.00	2017	Sedán	2.7	Automática	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-628955342-fusion-sport-2017-_JM
Ford Escape 2.0 Titanium Ecoboost 2017 - $ 399,000.00	2017	SUV	2.0	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-631380252-ford-escape-20-titanium-ecoboost-2017-_JM
Ford Lobo Xlt Cab Reg 5.0l 385 Hp Ra-20 At Blanco 2017 - $ 495,200.00	2017	Pick-Up	5.0	Automática	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-635269920-ford-lobo-xlt-cab-reg-50l-385-hp-ra-20-at-blanco-2017-_JM
Ford Lobo Xlt Cab Reg 5.0l 385 Hp Ra-20 Blanco 2017 - $ 495,150.00	2017	Pick-Up	5.0	Automática	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-635269907-ford-lobo-xlt-cab-reg-50l-385-hp-ra-20-blanco-2017-_JM
Ford Focus 2.3 Rs Mt 2017 - $ 574,990.00	2017	Hatchback	2.3	Manual	Gasolina	3	https://auto.mercadolibre.com.mx/MLM-627265754-ford-focus-23-rs-mt-2017-_JM
Ford Lobo Platinum Crew Cab Ecoboost 3.5l Piel 4x4 Azul 2017 - $ 775,100.00	2017	Roadster	3.5	Automática	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-635270688-ford-lobo-platinum-crew-cab-ecoboost-35l-piel-4x4-azul-2017-_JM
Ford Lobo Platinum Crew Cab Ecoboost 3.5l At 4x4 Plata 2017 - $ 775,050.00	2017	Pick-Up	3.5	Automática	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-635282484-ford-lobo-platinum-crew-cab-ecoboost-35l-at-4x4-plata-2017-_JM
Focus 2.0 Se Hatchback Manual Negro 2017 - $ 340,600.00	2017	Hatchback	2.0	Manual	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-633737241-focus-20-se-hatchback-manual-negro-2017-_JM
Ford Edge 2017 - $ 480,000.00	2017			Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-632115795-ford-edge-2017-_JM
Ford Figo Impulse  4 Pts 2017 Seminuevos - $ 161,700.00	2017	Sedán	1.5	Estándar	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-632743091-ford-figo-impulse-4-pts-2017-seminuevos-_JM
Ford Fusion 2017 4p Titanium Plus L4/2.0/t Aut - $ 390,000.00	2017	Sedán	2.0	Automática	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-635160586-ford-fusion-2017-4p-titanium-plus-l420t-aut-_JM
Ford Fusion 2.0 Se Hybrid Lux - $ 504,800.00	2017	Sedán	2.0	Automática	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-614130441-ford-fusion-20-se-hybrid-lux-_JM
Ford Explorer 2017 - $ 595,000.00	2017	SUV	3.5	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-632342095-ford-explorer-2017-_JM
Ford Explorer 3.5 Xlt Tela At - $ 519,000.00	2017	SUV	3.5	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-621842539-ford-explorer-35-xlt-tela-at-_JM
Ford Mustang 5.0l Gt V8 At 2017 - $ 515,000.00	2017	Coupé	5.0	Automática	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-631286273-ford-mustang-50l-gt-v8-at-2017-_JM
Ford F-350 6.3l Xl 6.2 Mt 2017 - $ 569,000.00	2017	Furgoneta	6.3	Manual	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-636046665-ford-f-350-63l-xl-62-mt-2017-_JM
Ford Focus 2017 - $ 314,500.00	2017	Sedán	2.0	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-632534545-ford-focus-2017-_JM
Ford Edge 2.7 Sport At - $ 550,000.00	2017	SUV	2.7	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-637502390-ford-edge-27-sport-at-_JM
Ford Fusion 2.5 Se Advance At - $ 339,000.00	2017	Sedán	2.5	Automática	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-634604934-ford-fusion-25-se-advance-at-_JM
Ford Ranger 2.5 Xlt Cabina Doble 4x2 Mt 2017 - $ 385,000.00	2017	Pick-Up	2.5	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-629979251-ford-ranger-25-xlt-cabina-doble-4x2-mt-2017-_JM
Ford Ranger 2017 - $ 330,000.00	2017	Pick-Up	2.5	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-636841286-ford-ranger-2017-_JM
Ford Figo 2017 - $ 174,500.00	2017	Sedán		Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-633993308-ford-figo-2017-_JM
Ford Figo 1.5 Energy Sedan Mt - $ 169,000.00	2017	Sedán	1.5	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-637027498-ford-figo-15-energy-sedan-mt-_JM
Ford Fiesta 2017 - $ 195,000.00	2017	Sedán	1.6	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-637405463-ford-fiesta-2017-_JM
Ford Ranger 2.5 Xlt Cabina Doble 4x2 Mt 2017 - $ 367,000.00	2017	Pick-Up	2.5	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-634603323-ford-ranger-25-xlt-cabina-doble-4x2-mt-2017-_JM
